Category,City,Country/Region,Customer ID,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Segments Abbrev,Selected Year,Ship Date,Ship Mode,State/Province,Sub-Category,Discount,Profit,Profit CY,Profit PY,Quantity,Sales,Sales CY,Sales PY,Year
Office Supplies,Houston,United States,DP-13000,Darren Powers,Message Book,1/3/2019,US-2019-103800,77095,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",Central,Consumer,CON,FALSE,1/7/2019,Standard Class,Texas,Paper,0.2,$0.01K,,,2,$0.0K,,,2019
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,GBC,1/4/2019,US-2019-112326,60540,GBC Standard Plastic Binding Systems Combs,Central,Home Office,HO,FALSE,1/8/2019,Standard Class,Illinois,Binders,0.8,-$0.01K,,,2,$0.0K,,,2019
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,Avery,1/4/2019,US-2019-112326,60540,Avery 508,Central,Home Office,HO,FALSE,1/8/2019,Standard Class,Illinois,Labels,0.2,$0.00K,,,3,$0.0K,,,2019
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,SAFCO,1/4/2019,US-2019-112326,60540,SAFCO Boltless Steel Shelving,Central,Home Office,HO,FALSE,1/8/2019,Standard Class,Illinois,Storage,0.2,-$0.06K,,,3,$0.3K,,,2019
Office Supplies,Philadelphia,United States,MB-18085,Mick Brown,Avery,1/5/2019,US-2019-141817,19143,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",East,Consumer,CON,FALSE,1/12/2019,Standard Class,Pennsylvania,Art,0.2,$0.00K,,,3,$0.0K,,,2019
Furniture,Henderson,United States,ME-17320,Maria Etezadi,Global,1/6/2019,US-2019-167199,42420,Global Deluxe High-Back Manager's Chair,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Chairs,0,$0.75K,,,9,$2.6K,,,2019
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Rogers,1/6/2019,US-2019-167199,42420,Rogers Handheld Barrel Pencil Sharpener,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Art,0,$0.00K,,,2,$0.0K,,,2019
Office Supplies,Athens,United States,JO-15145,Jack O'Briant,Dixon,1/6/2019,US-2019-106054,30605,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",South,Corporate,COR,FALSE,1/7/2019,First Class,Georgia,Art,0,$0.01K,,,3,$0.0K,,,2019
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Ibico,1/6/2019,US-2019-167199,42420,Ibico Hi-Tech Manual Binding System,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Binders,0,$0.27K,,,2,$0.6K,,,2019
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Alliance,1/6/2019,US-2019-167199,42420,"Alliance Super-Size Bands, Assorted Sizes",South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Fasteners,0,$0.00K,,,4,$0.0K,,,2019
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,Southworth,1/6/2019,US-2019-167199,42420,Southworth 25% Cotton Granite Paper & Envelopes,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Paper,0,$0.00K,,,1,$0.0K,,,2019
Office Supplies,Los Angeles,United States,LS-17230,Lycoris Saunders,Xerox,1/6/2019,US-2019-130813,90049,Xerox 225,West,Consumer,CON,FALSE,1/8/2019,Second Class,California,Paper,0,$0.01K,,,3,$0.0K,,,2019
Technology,Henderson,United States,ME-17320,Maria Etezadi,Other,1/6/2019,US-2019-167199,42420,Wireless Extenders zBoost YX545 SOHO Signal Booster,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Phones,0,$0.20K,,,4,$0.8K,,,2019
Technology,Henderson,United States,ME-17320,Maria Etezadi,GE,1/6/2019,US-2019-167199,42420,GE 30524EE4,South,Home Office,HO,FALSE,1/10/2019,Standard Class,Kentucky,Phones,0,$0.11K,,,2,$0.4K,,,2019
Furniture,Huntsville,United States,VS-21820,Vivek Sundaresam,Howard Miller,1/7/2019,US-2019-105417,77340,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",Central,Consumer,CON,FALSE,1/12/2019,Standard Class,Texas,Furnishings,0.6,-$0.05K,,,3,$0.1K,,,2019
Office Supplies,Huntsville,United States,VS-21820,Vivek Sundaresam,Acco,1/7/2019,US-2019-105417,77340,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",Central,Consumer,CON,FALSE,1/12/2019,Standard Class,Texas,Binders,0.8,-$0.02K,,,7,$0.0K,,,2019
Office Supplies,Laredo,United States,MS-17830,Melanie Seite,Newell,1/9/2019,US-2019-135405,78041,Newell 312,Central,Consumer,CON,FALSE,1/13/2019,Standard Class,Texas,Art,0.2,$0.00K,,,2,$0.0K,,,2019
